D,2013-01-23,0.7500,0.7500,0.7500,0.7500,0,0
D,2013-01-22,0.7500,0.7500,0.7500,0.7500,0,0
D,2013-01-21,0.7500,0.7500,0.7500,0.7500,0,0
D,2013-01-18,0.7500,0.7500,0.7500,0.7500,0,0
D,2013-01-17,0.7500,0.7500,0.7500,0.7500,0,0
D,2013-01-16,0.7500,0.7500,0.7500,0.7500,0,0
D,2013-01-15,0.7500,0.7500,0.7500,0.7500,0,0
D,2013-01-14,0.7500,0.7500,0.7500,0.7500,0,0
D,2013-01-11,0.7500,0.7500,0.7500,0.7500,0,0
D,2013-01-10,0.7500,0.7500,0.7500,0.7500,0,0
D,2013-01-09,0.7500,0.7500,0.7500,0.7500,0,0
D,2013-01-08,0.7500,0.7500,0.7500,0.7500,0,0
D,2013-01-07,0.7500,0.7500,0.7500,0.7500,0,0
D,2013-01-04,0.7500,0.7500,0.7500,0.7500,0,0
D,2013-01-03,0.7500,0.7500,0.7500,0.7500,0,0
D,2013-01-02,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-31,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-28,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-27,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-26,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-24,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-21,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-20,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-19,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-18,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-17,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-14,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-13,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-12,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-11,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-10,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-07,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-06,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-05,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-04,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-12-03,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-30,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-29,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-28,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-27,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-26,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-23,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-22,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-21,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-20,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-19,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-16,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-14,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-12,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-09,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-08,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-07,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-06,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-05,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-02,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-11-01,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-31,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-30,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-29,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-25,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-24,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-23,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-22,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-19,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-18,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-17,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-16,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-15,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-12,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-11,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-10,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-09,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-08,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-05,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-04,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-10-03,0.7500,0.7500,0.7500,0.7500,0,0
D,2012-05-03,1.0000,1.0000,1.0000,1.0000,0,0
D,2012-05-02,1.0000,1.0000,1.0000,1.0000,0,0
